movie,week_start,avg_sentiment,post_volume,avg_engagement,sentiment_velocity
Michael,2025-07-28,0.3403,11,5.5756,
Michael,2025-08-04,0.1833,41,5.8262,-0.157
Michael,2025-08-11,0.0391,32,5.8303,-0.1442
Michael,2025-08-18,0.2458,28,5.8035,0.2067
Michael,2025-08-25,0.2271,29,5.6874,-0.0187
Michael,2025-09-01,0.1793,37,5.7571,-0.0478
Michael,2025-09-08,0.2054,31,5.7635,0.0261
Michael,2025-09-15,0.2543,34,5.7791,0.0489
Michael,2025-09-22,0.1319,24,5.7859,-0.1224
Michael,2025-09-29,0.094,33,5.6942,-0.0379
Michael,2025-10-06,0.1379,28,5.6913,0.0439
Michael,2025-10-13,0.2901,31,5.6586,0.1522
Michael,2025-10-20,0.2023,27,5.7895,-0.0878
Michael,2025-10-27,0.0863,34,5.6155,-0.116
The Devil Wears Prada 2,2025-07-28,0.1696,16,5.8152,
The Devil Wears Prada 2,2025-08-04,0.0671,35,5.7115,-0.1025
The Devil Wears Prada 2,2025-08-11,0.1794,41,5.8113,0.1123
The Devil Wears Prada 2,2025-08-18,0.1258,33,5.836,-0.0536
The Devil Wears Prada 2,2025-08-25,0.169,29,5.6151,0.0432
The Devil Wears Prada 2,2025-09-01,0.0618,30,5.7354,-0.1072
The Devil Wears Prada 2,2025-09-08,0.1764,35,5.6887,0.1146
The Devil Wears Prada 2,2025-09-15,0.1406,37,5.7926,-0.0358
The Devil Wears Prada 2,2025-09-22,0.1344,32,5.7464,-0.0062
The Devil Wears Prada 2,2025-09-29,0.2364,26,5.8119,0.102
The Devil Wears Prada 2,2025-10-06,0.0752,47,5.6658,-0.1612
The Devil Wears Prada 2,2025-10-13,0.2504,31,5.7491,0.1752
The Devil Wears Prada 2,2025-10-20,0.1297,40,5.6633,-0.1207
The Devil Wears Prada 2,2025-10-27,0.1493,18,5.6467,0.0196
